txNomeParlamentar,genero
Waldemar Oliveira,H
Waldenor Pereira,H
Washington Quaquá,H
Weliton Prado,H
Wellington Roberto,H
Welter,H
Wilson Santiago,H
Wolmer Araújo,H
Yandra Moura,M
Yury do Paredão,H
Zeca Dirceu,H
Zezinho Barbary,H
Zucco,H
Zé Adriano,H
Zé Haroldo Cathedral,H
Zé Neto,H
Zé Silva,H
Zé Trovão,H
Zé Vitor,H
Átila Lins,H
Átila Lira,H
