ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
88256;Clodoaldo Magalhães;PV;PE;Titular
98148;Cobalchini;MDB;SC;Titular
220594;Coronel Assis;UNIÃO;MT;Titular
204378;Coronel Chrisóstomo;PL;RO;Titular
220595;Coronel Fernanda;PL;MT;Titular
220666;Coronel Meira;PL;PE;Titular
220590;Coronel Ulysses;UNIÃO;AC;Titular
178963;Covatti Filho;PP;RS;Titular
220608;Cristiane Lopes;UNIÃO;RO;Titular
204355;Da Vitoria;PP;ES;Titular
141411;Dagoberto Nogueira;PSDB;MS;Titular
220555;Daiana Santos;PCdoB;RS;Titular
220692;Dal Barreto;UNIÃO;BA;Titular
74467;Damião Feliciano;UNIÃO;PB;Titular
220629;Dandara;PT;MG;Titular
220603;Dani Cunha;UNIÃO;RJ;Titular
220571;Daniel Agrobom;PL;GO;Titular
74060;Daniel Almeida;PCdoB;BA;Titular
220582;Daniel Barbosa;PP;AL;Titular
204367;Daniel Freitas;PL;SC;Titular
204409;Daniel Trzeciak;PSDB;RS;Titular
204459;Daniela do Waguinho;UNIÃO;RJ;Titular
220557;Daniela Reinehr;PL;SC;Titular
62881;Danilo Forte;UNIÃO;CE;Titular
160552;Danrlei de Deus Hinterholz;PSD;RS;Titular
204511;David Soares;UNIÃO;SP;Titular
220659;Dayany Bittencourt;UNIÃO;CE;Titular
220539;Defensor Stélio Dener;REPUBLICANOS;RR;Titular
220565;Delegada Adriana Accorsi;PT;GO;Titular
220625;Delegada Ione;AVANTE;MG;Titular
220561;Delegada Katarina;PSD;SE;Titular
220642;Delegado Bruno Lima;PP;SP;Titular
220673;Delegado Caveira;PL;PA;Titular
220649;Delegado da Cunha;PP;SP;Titular
178908;Delegado Éder Mauro;PL;PA;Titular
220583;Delegado Fabio Costa;PP;AL;Titular
204512;Delegado Marcelo Freitas;UNIÃO;MG;Titular
220701;Delegado Matheus Laiola;UNIÃO;PR;Titular
220652;Delegado Palumbo;MDB;SP;Titular
220654;Delegado Paulo Bilynskyj;PL;SP;Titular
220619;Delegado Ramagem;PL;RJ;Titular
220705;Deltan Dallagnol;PODE;PR;Titular
220553;Denise Pessôa;PT;RS;Titular
220689;Detinha;PL;MA;Titular
160588;Diego Andrade;PSD;MG;Titular
220691;Diego Coronel;PSD;BA;Titular
178929;Diego Garcia;REPUBLICANOS;PR;Titular
73768;Dilceu Sperafico;PP;PR;Titular
220671;Dilvanda Faro;PT;PA;Titular
160599;Dimas Fabiano;PP;MG;Titular
220602;Dimas Gadelha;PT;RJ;Titular
143632;Domingos Neto;PSD;CE;Titular
160758;Domingos Sávio;PL;MG;Titular
220573;Dorinaldo Malafaia;PDT;AP;Titular
204450;Doutor Luizinho;PP;RJ;Titular
220614;Dr. Daniel Soranz;PSD;RJ;Titular
220610;Dr. Fernando Máximo;UNIÃO;RO;Titular
220688;Dr. Francisco;PT;PI;Titular
204518;Dr. Frederico;PRD;MG;Titular
220570;Dr. Ismael Alexandrino;PSD;GO;Titular
204481;Dr. Jaziel;PL;CE;Titular
204351;Dr. Luiz Ovando;PP;MS;Titular
220528;Dr. Victor Linhalis;PODE;ES;Titular
204412;Dr. Zacharias Calil;UNIÃO;GO;Titular
220674;Dra. Alessandra Haber;MDB;PA;Titular
220686;Duarte Jr.;PSB;MA;Titular
220540;Duda Ramos;MDB;RR;Titular
220623;Duda Salabert;PDT;MG;Titular
204541;Eduardo Bismarck;PDT;CE;Titular
92346;Eduardo Bolsonaro;PL;SP;Titular
141421;Eduardo da Fonte;PP;PE;Titular
220589;Eduardo Velloso;UNIÃO;AC;Titular
74075;Elcione Barbalho;MDB;PA;Titular
204364;Eli Borges;PL;TO;Titular
178854;Elmar Nascimento;UNIÃO;BA;Titular
198783;Emanuel Pinheiro Neto;MDB;MT;Titular
161550;Emidinho Madeira;PL;MG;Titular
132504;Enio Verri;PT;PR;Titular
220663;Eriberto Medeiros;PSB;PE;Titular
220645;Erika Hilton;PSOL;SP;Titular
160575;Erika Kokay;PT;DF;Titular
160640;Eros Biondini;PL;MG;Titular
204482;Euclydes Pettersen;REPUBLICANOS;MG;Titular
